vessel_id,haul_trip_id,net_id,net_description,common_name,group,family,condition,min_m_treat,min_m_buoys
V10,V10_T06,CONTROL_6,CONTROL,Razorbill,Bird,Alcidae,D,NA,309.6
V10,V10_T06,CONTROL_6,CONTROL,Razorbill,Bird,Alcidae,D,NA,228.7
V10,V10_T07,LEB_7,LEB,Razorbill,Bird,Alcidae,D,61.3,61.3
V10,V10_T08,KITE_8,KITE,Razorbill,Bird,Alcidae,D,39.6,39.6
V10,V10_T09,CONTROL_9,CONTROL,Common Guillemot,Bird,Alcidae,D,NA,287.3
V10,V10_T09,KITE_9,KITE,Shag,Bird,Phalacrocoracidae,D,43.2,43.2
V10,V10_T09,LEB_9,LEB,Cormorant,Bird,Phalacrocoracidae,D,35.3,35.3
V10,V10_T12,KITE_12,KITE,Shag,Bird,Phalacrocoracidae,D,16.4,16.4
V10,V10_T13,LEB_13,LEB,Common Guillemot,Bird,Alcidae,D,39.9,39.9
V10,V10_T14,CONTROL_14,CONTROL,Common Guillemot,Bird,Alcidae,D,NA,155.8
V10,V10_T14,LEB_14,LEB,Unidentified Seal Species,Seal,NA,A,42,42
V10,V10_T26,CONTROL_26,CONTROL,Common Guillemot,Bird,Alcidae,D,NA,161.1
V12,V12_T33,CONTROL_78,CONTROL,Shag,Bird,Phalacrocoracidae,A,NA,787.9
V12,V12_T39,CONTROL_84,CONTROL,Common Guillemot,Bird,Alcidae,D,NA,140.2
V12,V12_T39,KITE_84,KITE,Common Guillemot,Bird,Alcidae,D,30.6,30.6
V12,V12_T42,CONTROL_87,CONTROL,Common Guillemot,Bird,Alcidae,D,NA,300.6
V2,V2_T06,LEB_112,LEB,Common Dolphin,Ceta,NA,D,31.9,31.9
V2,V2_T06,LEB_112,LEB,Common Dolphin,Ceta,NA,D,38.7,38.7
V2,V2_T06,LEB_112,LEB,Common Dolphin,Ceta,NA,D,28.8,28.8
V2,V2_T10,CONTROL_116,CONTROL,Common Guillemot,Bird,Alcidae,D,NA,212.6
V2,V2_T14,KITE_120,KITE,Razorbill,Bird,Alcidae,D,9.3,9.3
V2,V2_T15,CONTROL_121,CONTROL,Razorbill,Bird,Alcidae,D,NA,544.2
V2,V2_T15,CONTROL_121,CONTROL,Razorbill,Bird,Alcidae,D,NA,521.6
V2,V2_T17,CONTROL_123,CONTROL,Common Guillemot,Bird,Alcidae,D,NA,456.7
V2,V2_T17,CONTROL_123,CONTROL,Common Guillemot,Bird,Alcidae,D,NA,396.1
V2,V2_T17,CONTROL_123,CONTROL,Common Guillemot,Bird,Alcidae,D,NA,339.7
V2,V2_T17,KITE_123,KITE,Grey Seal,Seal,NA,D,53.5,53.5
V2,V2_T17,LEB_123,LEB,Common Guillemot,Bird,Alcidae,D,43.2,43.2
V2,V2_T18,CONTROL_124,CONTROL,Common Guillemot,Bird,Alcidae,D,NA,532.8
V2,V2_T18,KITE_124,KITE,Common Guillemot,Bird,Alcidae,A,40.4,40.4
V2,V2_T18,KITE_124,KITE,Common Guillemot,Bird,Alcidae,A,36.1,36.1
V2,V2_T21,LEB_126,LEB,Gannet,Bird,Sulidae,D,24.8,24.8
V3,V3_T06,LEB_132,LEB,Razorbill,Bird,Alcidae,D,47,47
V4,V4_T05,CONTROL_137,CONTROL,Common Guillemot,Bird,Alcidae,D,NA,207.4
V4,V4_T06,CONTROL_138,CONTROL,Common Guillemot,Bird,Alcidae,D,NA,1824
V4,V4_T06,CONTROL_138,CONTROL,Common Guillemot,Bird,Alcidae,D,NA,1824
V4,V4_T06,CONTROL_138,CONTROL,Common Guillemot,Bird,Alcidae,D,NA,1858.6
V4,V4_T06,CONTROL_138,CONTROL,Common Guillemot,Bird,Alcidae,D,NA,1882.8
V4,V4_T06,KITE_138,KITE,Common Dolphin,Ceta,NA,D,49.3,49.3
V4,V4_T06,KITE_138,KITE,Common Guillemot,Bird,Alcidae,D,77,77
V4,V4_T06,LEB_138,LEB,Shag,Bird,Phalacrocoracidae,D,62.8,62.8
V4,V4_T06,LEB_138,LEB,Common Seal,Seal,NA,D,62,62
V4,V4_T06,LEB_138,LEB,Common Guillemot,Bird,Alcidae,D,39.1,39.1
V4,V4_T06,LEB_138,LEB,Common Guillemot,Bird,Alcidae,D,41.7,41.7
V4,V4_T10,KITE_140,KITE,Common Dolphin,Ceta,NA,D,26.7,26.7
V4,V4_T10,KITE_140,KITE,Common Dolphin,Ceta,NA,D,44.9,44.9
V4,V4_T14,CONTROL_143,CONTROL,Common Guillemot,Bird,Alcidae,D,NA,4364.8
V4,V4_T14,CONTROL_143,CONTROL,Common Guillemot,Bird,Alcidae,D,NA,4378.7
V4,V4_T16,CONTROL_144,CONTROL,Common Guillemot,Bird,Alcidae,D,NA,293
V4,V4_T16,CONTROL_144,CONTROL,Common Guillemot,Bird,Alcidae,D,NA,292.4
V4,V4_T16,CONTROL_144,CONTROL,Common Guillemot,Bird,Alcidae,D,NA,289.7
V4,V4_T16,CONTROL_144,CONTROL,Common Guillemot,Bird,Alcidae,D,NA,287.9
V4,V4_T16,KITE_144,KITE,Common Guillemot,Bird,Alcidae,D,21,21
V4,V4_T16,KITE_144,KITE,Common Guillemot,Bird,Alcidae,D,38.6,38.6
